"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"106","Central Mixedwood",28,3,2.99998915195465,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"107","Lower Boreal Highlands",28,99,97.3271858990192,0.1,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"108","Upper Boreal Highlands",28,1,0,0,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
"109","Athabasca Plain",29,6325,6252.94081144424,2.7,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"110","Central Mixedwood",29,17436,17331.7338997751,1.8,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"111","Lower Boreal Highlands",29,1271,1232.41127919842,1.5,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"112","Upper Boreal Highlands",29,589,571.805750241503,0.5,29,"Rich-Hygric Poplar",0,"#00C89E","29_Rich-Hygric Poplar"
"113","Athabasca Plain",31,16480,16455.4805055152,7.1,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"114","Central Mixedwood",31,5526,5488.70656491822,0.6,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"115","Lower Boreal Highlands",31,905,878.610039860243,1.1,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"116","Upper Boreal Highlands",31,415,402.463307577651,0.3,31,"Rich-Hygric Spruce",0,"#0E995F","31_Rich-Hygric Spruce"
"117","Athabasca Plain",32,1,0,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
"118","Central Mixedwood",32,15,15,0,32,"Rich-Hydric Grass Fen",0,"#9FFFD7","32_Rich-Hydric Grass Fen"
